
	Frequency of annotations called from Tabulated file
NON_SYNONYMOUS_CODING&SPLICE_SITE,UPSTREAM	2
NON_SYNONYMOUS_CODING,NON_SYNONYMOUS_CODING&SPLICE_SITE	2
NON_SYNONYMOUS_CODING,NON_SYNONYMOUS_CODING&SPLICE_SITE,UPSTREAM	3
NON_SYNONYMOUS_CODING,SPLICE_SITE&INTRONIC	3
NON_SYNONYMOUS_CODING,SPLICE_SITE&INTRONIC,UPSTREAM	2
NON_SYNONYMOUS_CODING,SPLICE_SITE&SYNONYMOUS_CODING	2
NON_SYNONYMOUS_CODING,SPLICE_SITE&SYNONYMOUS_CODING,UPSTREAM	1
NON_SYNONYMOUS_CODING,STOP_GAINED	3
NON_SYNONYMOUS_CODING,STOP_LOST	2
NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING	210
NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	41
NON_SYNONYMOUS_CODING,UPSTREAM	444
SPLICE_SITE&5PRIME_UTR	2
SPLICE_SITE&5PRIME_UTR,SPLICE_SITE&SYNONYMOUS_CODING,UPSTREAM	1
SPLICE_SITE&INTRONIC	56
SPLICE_SITE&INTRONIC,SYNONYMOUS_CODING	4
SPLICE_SITE&INTRONIC,SYNONYMOUS_CODING,UPSTREAM	2
SPLICE_SITE&INTRONIC,UPSTREAM	24
SPLICE_SITE&SYNONYMOUS_CODING	27
SPLICE_SITE&SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	1
SPLICE_SITE&SYNONYMOUS_CODING,UPSTREAM	6
STOP_GAINED	1
STOP_GAINED,SYNONYMOUS_CODING	9
STOP_GAINED,SYNONYMOUS_CODING,UPSTREAM	1
STOP_GAINED,UPSTREAM	2
STOP_LOST	1
STOP_LOST,SYNONYMOUS_CODING	9
SYNONYMOUS_CODING	5232
SYNONYMOUS_CODING,UPSTREAM	1058
UPSTREAM	1208
WITHIN_MATURE_miRNA	1

57797
